seller_rank,seller_id_short,seller_state,total_orders,seller_attributed_order_value,avg_review,late_rate,performance_tier
533,2528744c...d2e7,SP,5,6508.699999999999,2.4,0.0,medium
534,dbd66278...4695,SP,85,6472.769999999999,4.5058823529411764,0.058823529411764705,medium
535,0d85bbda...46eb,MG,51,6469.7,4.2,0.11764705882352941,medium
536,23613d49...050c,SP,70,6460.76,3.8260869565217392,0.14492753623188406,medium
537,7d76b645...6592,SP,176,6431.539999999999,3.9597701149425286,0.11627906976744186,medium
538,d6b664fa...d790,SP,6,6404.34,4.833333333333333,0.16666666666666666,medium
539,02d35243...675d,RN,14,6399.950000000001,2.642857142857143,0.35714285714285715,medium
540,52ac6f92...259b,PR,6,6383.889999999999,3.6666666666666665,0.0,medium
541,fc906263...7800,MG,114,6383.28,4.368421052631579,0.0,medium
542,709e16e2...4806,SP,60,6378.860000000001,4.516666666666667,0.03333333333333333,medium
543,e62b2d6a...d263,SP,62,6375.469999999999,3.9661016949152543,0.12903225806451613,medium
544,1336efc6...7cae,SP,74,6355.290000000001,4.0,0.0945945945945946,medium
545,04aa0a1c...3cc0,SP,11,6339.509999999999,4.090909090909091,0.18181818181818182,medium
546,f84fa566...56af,SP,91,6326.7,4.211111111111111,0.1348314606741573,medium
547,817245bc...51a6,SP,29,6303.08,4.0,0.03571428571428571,medium
